url,image_url,amount_raised,description,days_running
https://www.gofundme.com/f/q6st47-support-olives-urgent-medical-care,https://d2g8igdw686xgo.cloudfront.net/95990301_1761511442341781_r.png,6600,"Donation protected
My cat, Olive, was rushed to the ER yesterday due to a urethral blockage. He had to undergo an emergency procedure so he could urinate, and he will need to stay in the hospital for the next two days under close monitoring. Thankfully, he’s stable and doing okay right now.
However, the cost of his care came to $6,600.
I’ve been unemployed for the past few weeks, and while I’m starting a new job on Monday, I currently have no income. I am a full-time student and unfortunately, I",0
https://www.gofundme.com/f/yall-know-its-killin-me-to-ask,https://d2g8igdw686xgo.cloudfront.net/95907939_1761247897252510_r.png,800,"Donation protected
Wow. So, it comes to this. I’ve fought against this for so many months since having the stroke, telling myself, and anyone who asked, that things are okay. I am great. Things are good. Surely I’ll be back to work soon, or maybe my disability will come through, and I can, at least, get back to work part-time. Things just aren’t going the way we had hoped. And we are so far behind, it hurts. My main concern is feeding my crew- 6 hungry pups and one grateful cat. The stroke took ",2
https://www.gofundme.com/f/help-amy-save-nimmos-life,https://d2g8igdw686xgo.cloudfront.net/95888133_1761187818923482_r.png,705,"Donation protected
I would like to raise enough money to help my dear friend Amy. Not only is she an amazing friend, she has a heart of gold. She has 4 animals of her own and she fosters. One of her animals, Nimmo (photo above), is really sick.

“Nimmo is extremely sick. His iron levels are so dangerously low, it is extremely life-threatening. Vets are suggesting a blood transfusion, but I cannot afford that on my own. This picture was taken exactly one week ago when I took him to the ER. He has",4
https://www.gofundme.com/f/support-teddy-onyx-after-a-tragic-accident,https://d2g8igdw686xgo.cloudfront.net/95935191_1761328402505042_r.png,3355,"Donation protected
Help Support Us After a Tragic Accident Involving Our Dogs, Teddy and Onyx

Our hearts are completely shattered. Our two boys, Teddy and Onyx, are truly part of our family. Teddy is our one-year-old Golden and Cavalier mix — our little “dwarf Golden” — and Onyx is our five-year-old German Shepherd. They’re inseparable best friends who do everything together.

A few days ago, while we were not home, both dogs somehow managed to pry open our kitchen trash can — which has a locki",2
https://www.gofundme.com/f/support-stryders-urgent-treatment,https://d2g8igdw686xgo.cloudfront.net/95809295_1760993242361724_r.png,1756,"Donation protected
Our sweet dopey boy Stryder recently has been diagnosed with two Lung masses. X rays show that the masses are rather large and are in need of immediate treatment as they are more than likely cancer. Avery and I hope to get Stryder the best treatment he deserves without worry of finance constraints. If you know stryder then you know what a big ball of love he is. We know these are hard times for everyone so we sincerely appreciate any and all contributions possible. If you are ",6
https://www.gofundme.com/f/help-mollymoo-picklepeach-get-lifesaving-surgery,https://d2g8igdw686xgo.cloudfront.net/95912565_1761257207906096_r.png,1174,"Donation protected
Hi, I’m the human lucky enough to be loved by MollyMoo PicklePeach...a tiny ball of sweetness with a huge heart.

Recently, Molly started showing signs that something was wrong. After an emergency vet visit, we got heartbreaking news: Molly has more than six stones in her bladder and one lodged in her urethra. Those little round spots on her X-ray? They shouldn’t be there at all. Each one is causing pain and without surgery, this will quickly become life-threatening.

This sur",3
https://www.gofundme.com/f/Operation-help-kenaii,https://d2g8igdw686xgo.cloudfront.net/95959317_1761411144448566_r.png,94,"Donation protected
Help Us Save Kenaii

I’m here on behalf of my sister and Nick — and if you know them, you know Kenaii. He’s not just their dog… he’s family. He’s one of us. He’s been there through everything — every laugh, every tear, every memory.

For the past two years, Kenaii has been fighting through seizures. But this morning was different… it was the worst it’s ever been. From 5 a.m. on, my sister and Nick have been beside themselves with worry, rushing him to the vet, watching helples",1
https://www.gofundme.com/f/donate-to-luckys-rehabilitation-journey,https://d2g8igdw686xgo.cloudfront.net/95933115_1761324172796665_r.png,1500,"Donation protected
On 10/18/25 there was a tractor trailer vs horse and buggy accident in york county PA. One of the horses walked away the other, Lucky, ended up with severe injuries and was taken to the vet. He survived but is looking at months of expensive rehab at a layover/rehab farm with 6 months of stall rest to start, estimating $1500+ a month in care for the next 6+ months. We are hoping to raise money to help with the expenses.
React",2
https://www.gofundme.com/f/avyk3-support-maples-emergency-vet-treatment,https://d2g8igdw686xgo.cloudfront.net/95950751_176137246785652_r.png,420,"Donation protected
Hello friends and family! Our 7 month old puppy, Maple, ate a bottle of prescription strength ibuprofen. She ingested nearly the lethal amount for dogs and needed intense emergency treatment. She’s being kept overnight at the vet and will need more treatment and blood tests over the next few days. We’re hoping that she pulls through and her bloodwork comes back normal.

Maple is the sweetest puppy, and we love her dearly. I’ve never asked for help with my animals before, but p",2
https://www.gofundme.com/f/kitty-needs-urgent-treatment-to-battle-aggressive-cancer,https://d2g8igdw686xgo.cloudfront.net/95708941_1761225059197579_r.png,2250,"Donation protected
My sweet angel Kitty was just diagnosed with aggressive cancer and needs urgent treatment to survive. Please help me save my beloved girl.

Since she was a tiny rescue baby, the runt of her litter, Kitty has been playful, curious, silly and mischievous and always ready for an adventure — a little beam of warmth and endless love. She brings happiness into the lives of everyone who knows and interacts with her. She is just a joy, my heart, the sweetest creature.

Kitty was recen",4
https://www.gofundme.com/f/help-us-save-finns-eye-our-beloved-frenchie,https://d2g8igdw686xgo.cloudfront.net/95549613_1760202700235008_r.png,2504,"Donation protected
On Tuesday, October 7, our beloved French Bulldog, Finn, faced a sudden and serious health emergency. We rushed him to the emergency vet after noticing swelling in his eye, where he was immediately treated for an eye ulcer. Just two days later, we returned home only to discover his condition had worsened — his eye had ruptured.

At his regular vet, we were faced with two difficult choices: remove Finn’s eye completely or attempt surgery to save it. We chose to fight for Finn’s",15
https://www.gofundme.com/f/help-buddy-battle-muscular-myositis,https://d2g8igdw686xgo.cloudfront.net/95727693_1760726662850551_r.png,2914,"Donation protected
Hi everyone,

We are starting this GoFundMe to help our sweet dog Buddy as he battles muscular myositis, a rare and painful autoimmune disease that’s attacking his muscles causing inflammation and muscle weakness making it hard for him to do the things he loves most — running, playing, even eating at times.

Buddy has always been the most loyal, loving companion — full of energy, tail wags, and joy — but recently his health has taken a heartbreaking turn. After multiple vet vi",9
https://www.gofundme.com/f/3sz6v-emma-get-the-surgery-she-needs,https://d2g8igdw686xgo.cloudfront.net/95660067_1760534901882907_r.png,3000,"Donation protected
Hi everyone,
My name is Lisa and I’m fundraising for my sweet dog, Emma. She’s 13 years old and she’s my best friend, my family, and my comfort through everything.

Recently, Emma was diagnosed with a very large tumor on her liver, and the only way to help her is through surgery to remove the affected part. The procedure offers her the best chance to live comfortably and have more time with the people who love her most.

The estimated cost for her surgery and recovery care is ",10
https://www.gofundme.com/f/help-guarito-get-urgent-leg-surgery,https://d2g8igdw686xgo.cloudfront.net/95850953_1761090697911357_r.jpeg,210,"Donation protected
Guarito is my happy, energetic dog who has been by my side through some of the hardest moments of my life. On October 19, 2025, Guarito suffered a serious accident when a metal folding chair landed on his leg, causing significant damage. I rushed him to the veterinarian, who determined that he needs immediate reconstruction surgery to repair the bones in his leg and prevent further complications. The vet has emphasized that the surgery must happen no later than Friday to give ",5
https://www.gofundme.com/f/4kp43-help-milo-get-the-surgery-he-needs,https://d2g8igdw686xgo.cloudfront.net/95923373_1761289984542812_r.png,6000,"Donation protected
UPDATE!!! MY VET SAID HIS LEG COULD BE PINNED! THEY SAID HES STILL SO YOUNG AND HAS TIME TO HEAL. GOAL IS NOW 3000!!!!

My name is Shawnee Rexrode. I never ask for help unless it's needed. My dog got out of the house. He went missing for about 34 hours. When he was found, he was injured. I know it's nobody's fault but my own, but I need help. Milo is 2 and a half years old. He's just a pup with a long life ahead of him! His family rushed him to the vet as soon as we got him ba",3
https://www.gofundme.com/f/support-mekas-senior-care-after-suzannes-loss,https://d2g8igdw686xgo.cloudfront.net/95877297_1761167197960733_r.png,975,"Donation protected
Dear friends and kind-hearted strangers,

I am writing with a heavy heart to share the sudden and unexpected loss of my dear friend, Suzanne. Suzanne was a loving, compassionate soul who brought warmth to everyone she knew, and one of the greatest joys of her life was her 15-year-old pitbull, Meka. Meka was more than a pet to Suzanne—she was a best friend, a loyal companion, and a huge part of her life.

Suzanne’s home was always open to us and our two dogs, Loki and Tater, an",4
https://www.gofundme.com/f/help-zach-cover-vet-bills-after-losing-bobby,https://d2g8igdw686xgo.cloudfront.net/95777243_1760890255745655_r.png,2102,"Donation protected
Dear friends and compassionate souls,

I’m reaching out to you on behalf of my friend Zach, who is going through an incredibly difficult time after the tragic loss of his beloved dog Bobby. Bobby was brutally attacked by two neighboring dogs and, despite all efforts to save him, he did not survive. The emotional pain of losing a furry family member is already overwhelming, but on top of that, Zach is now faced with a massive vet bill that he never anticipated.

Zach has always",7
https://www.gofundme.com/f/support-a-rescued-kittens-healthy-future,https://d2g8igdw686xgo.cloudfront.net/95838589_1761073754147789_r.png,800,"Donation protected
Hi everyone! This sweet little kitten was found hiding in one of my coworker's car engines—likely for warmth. Poor sweetie. Luckily, she was able to get the kitten out safely.

I've been taking care of her for now, and she's been warming up to the environment pretty well. She really is the sweetest thing. I spent a lot of time cleaning her and ridding her of all her icky flea pests.

Next step is her basic future necessities as well as a vet visit, which will include testing f",5
https://www.gofundme.com/f/8xg9dh-help-luna-walk-again-support-her-surgery,https://d2g8igdw686xgo.cloudfront.net/95906955_1761332028764089_r.png,899,"Donation protected
My name is christian and im the owner of two very sweet girl cats as of last year, they are only a year and half old and both live healthy normal lives and get all of my love. But recently my smaller cat luna has broken her leg from a bad fall and shown us that her both hip joints need help to walk normally again, this is a very expensive operation and I need help please. I ask to help her live a full life any help is appreciated
React",3
https://www.gofundme.com/f/donate-to-christinas-wheels-of-hope,https://d2g8igdw686xgo.cloudfront.net/94106961_1756461972279926_r.png,5079,"Donation protected
Help me help the helpless as I embark on raising funds for a vehicle to be able stop, drop and SAVE: Help Christina Continue Her Rescue Mission!

For 25 years, I've called Miami's West Little River home, and for just as long, my heart has ached for the countless stray and suffering animals I've seen. When I first moved here, the streets were filled with hundreds of cats—sick, injured, and in desperate need of help. So, I started trapping, neutering, and returning them (TNR).

",58
https://www.gofundme.com/f/support-laylas-journey-to-health,https://d2g8igdw686xgo.cloudfront.net/95879339_1761328581292391_r.png,286,"Donation protected
Hi there, let me introduce you to Layla. She's a Russian Blue girl who was given away by a family in the Bronx. Currently, she is being cared for by a Brooklynite.

We visited the vet this past October 22, and unfortunately, the prognosis is not great. We are raising funds to support her journey to health.

Here are a few key points we can share about her health situation (this will be updated as soon as we keep moving with her treatment):
She needs a tooth removal; one of her",2
https://www.gofundme.com/f/help-sweet-ms-abyss-get-lifesaving-surgery,https://d2g8igdw686xgo.cloudfront.net/95874343_1761158789453484_r.png,1050,"Donation protected
Hi everyone,

I’m reaching out with a heavy heart to ask for help for my beloved cat, Ms. Abyss. She’s not just a pet — she’s family. Anyone who’s met her knows how special she is. With her one beautiful working eye, her adorable little chirps and meows, and her endless cuddles, she’s brought so much love, laughter, and comfort into my life and the lives of everyone who’s met her.

Recently, Ms. Abyss was diagnosed with a cancerous mass on her stomach that needs to be surgical",4
https://www.gofundme.com/f/last-chance-cary-grant-will-be-killed-today-without-boar,https://i.ytimg.com/vi/lk18PUKhuHo/0.jpg,1364,"Donation protected
URGENT – LIFE OR DEATH FOR CARY GRANT
TIME-SENSITIVE: We need your help NOW to save a life.
Cary Grant, a sweet dog at risk of being euthanized, has a foster lined up who can take him in starting November 8th. However, we need to cover 19 days of boarding fees by the end of today in order to make this happen. If we can't raise the money, Cary Grant will be put down by day's end.
This is our absolute last chance to save him.
The rescue has already signed the paperwork, but they",5
https://www.gofundme.com/f/help-me-save-my-6-month-old-puppy,https://d2g8igdw686xgo.cloudfront.net/95732393_1760734005834938_r.jpeg,3000,"Donation protected
My name is Matt Doyle and I’m a 19 year old kid, my best buddy is now unable to walk and live by himself after only 6 months. Bentley is my dog and he is only 6 months old with a neurological disorder. He was a really bright pup and loved running around and playing. He would always be the first one to see me when I came from work and be the happiest little guy I’ve ever seen. Recently over the last couple weeks, he has declined rapidly and is now unable to move his legs or wal",9
https://www.gofundme.com/f/help-cookie-walk-again-vpbyd,https://d2g8igdw686xgo.cloudfront.net/95850291_1761089011968281_r.jpeg,940,"Donation protected
Cookie is a sweet, loving dog who spent the first year and a half of her life chained up on a concrete driveway. Every day, I would walk past her while taking my other four rescue dogs out, and I always hoped for a better life for her. When her family was about to move and take her to the pound, I stepped in to make sure she wouldn’t be euthanized. I promised to find her a home, but after no one came forward, I knew she belonged with me and my pack.

Recently, Cookie tore her ",5
https://www.gofundme.com/f/help-find-maggie-support-search-efforts,https://d2g8igdw686xgo.cloudfront.net/95865173_1761140731793082_r.png,450,"Donation protected
Our dog, Maggie, has been missing in the MetroParks in Cleveland Ohio since Monday September 15th. I'm raising funds to help with some of the costs of trying to find her. We have already posted over 700 posters and things like trail camera's and drone experts are starting to get expensive. We would really appreciate everyone's help!!!!
React",3
https://www.gofundme.com/f/fryjs-donate-to-save-hunters-life,https://d2g8igdw686xgo.cloudfront.net/95861903_1761128264589477_r.png,725,"Donation protected
Hey everyone, it's Nicole. Our dog Hunter needs help, please!!!! I woke up at 6 am Saturday morning. I came down to Hunter not feeling good at all. He was very weak and didn't want to go outside or anything. Well, he had a seizure, and he usually acts weird after them for the day because he's weak from it. Well, Saturday night he began puking. He hasn't been able to keep hardly anything down. We couldn't afford the emergency vet, so we made him as comfortable as possible for t",5
https://www.gofundme.com/f/w3dnsx-hospitalizacion,https://d2g8igdw686xgo.cloudfront.net/95863845_176114075184854_r.png,800,"Donation protected
Hola me llamo Biscuit soy un chihuahua toy de 8 años. Sufrí un accidente y tengo multiples fracturas. Necesito de tu ayuda para operar mi pelvis.
React",4
https://www.gofundme.com/f/donate-to-feed-and-care-for-mexicos-street-dogs,https://d2g8igdw686xgo.cloudfront.net/95803979_1761105849827673_r.png,1503,"Donation protected
Help Rescue and Care for Abandoned Dogs in Mexico

If you know anything about me, you know that rescuing animals has been part of my life for decades — from flying rescues out of Mexico and South Korea to fostering, nursing, feeding, and rehoming countless animals in need.

This work has always been close to my heart, but lately, it’s become more necessary than ever here in Puerto Escondido, Mexico, where the number of abandoned and suffering animals grows every day.





Read",6
https://www.gofundme.com/f/give-ollie-a-chance-to-heal-and-come-home,https://d2g8igdw686xgo.cloudfront.net/95906113_1761244230112511_r.png,170,"Donation protected
Update: We Lost Our Sweet Ollie

I am absolutely heartbroken to share that our beloved Ollie passed away yesterday afternoon.

After several days in the ICU, fighting so hard, he was doing better. I stayed with him til 2am Friday night, slept nearby at a hotel, went to visit as soon as I woke up, and when I left later in the morning to get a little more rest, he was stable — eating, peeing, trying to open the kennel door, and even meowing at me as I left like he always does. H",3
https://www.gofundme.com/f/support-kara-aspyns-journey-back-home,https://d2g8igdw686xgo.cloudfront.net/95552283_1760209483139217_r.png,937,"Donation protected
My name is Kayleigh, and I’m starting this fundraiser for my best friend, Kara Sanders, and her beloved dog, Aspyn.

Aspyn is a 2½-year-old Great Pyrenees — loyal, gentle, stubborn, and protective, just like her breed. She’s been part of Kara’s family since she was 11 weeks old, growing up alongside Kara’s three children and their other dog. For them, Aspyn isn’t “just a pet.” She’s family — a constant through heartbreak, divorce, and transition.

But right now, Kara is facing",15
https://www.gofundme.com/f/donate-to-kahlua-and-olivers-training-and-travel,https://d2g8igdw686xgo.cloudfront.net/94846295_1758422795441356_r.jpg,2671,"Donation protected
Hello, all Kahlua and Oliver Supporters,
As most of you know, we are in the process of moving to Hawaii in December. We have realized that while Kahlua is amazing with the family, we are apprehensive about how she does in more public settings. Although it has been a short time with her, we want to give her the best opportunity possible to become social with dogs and humans and still feel safe. With her apprehension of humans, we are very concerned about how she will do at the ",36
https://www.gofundme.com/f/help-chaquita-breathe-easy-again,https://d2g8igdw686xgo.cloudfront.net/93164703_1753933642513955_r.png,4578,"Donation protected
This is my special soul dog named Chaquita.

The day Chaquita came into my life was definitely the best day ever. We bonded instantly. She’s been with me through the hardest moments and some of the very best. Chaquita isn’t just a pet. She’s my lil shadow and constant friend.

From the moment I met her, I knew she was something special. I wanted to share her with the whole world, so I started a TikTok. She quickly became known for her iconic Taco Bell reactions and heartwarmin",89
https://www.gofundme.com/f/support-seths-surgery-for-a-painfree-life,https://d2g8igdw686xgo.cloudfront.net/95712285_1760671636134212_r.jpeg,6000,"Donation protected
Hi! My name is Susan and I am raising funds to help pay for patellar luxation surgery for Seth, my Scottish Terrier. Seth has recently been diagnosed, and we have tried several therapies without success. We are at a point where surgery is necessary. The total cost for Seth’s surgery and rehabilitation is approximately $6000. The initial estimate for the surgery is $3600 - $4227. The remainder of the costs are for post-surgical visits and physical therapy.

About us:
I am retir",10
https://www.gofundme.com/f/help-ozzy-overcome-seizures-and-reunite-with-sisters,https://d2g8igdw686xgo.cloudfront.net/95961329_1761415542837665_r.png,3775,"Donation protected
Hi there, my name is Stefanie Puntillo. I am a Licensed Veterinary Technician and local cat rescuer/trapper. My current foster kittens, Ozzy, Lil Miss, and Trixie, have been with me for 3.5 months. They were found alone in a stream at about 2 weeks old. I spent my summer giving them around-the-clock care and loved every minute of it. They needed to be bottle-fed and stimulated to go to the bathroom. These three babies have become my daily routine since the beginning of summer.",1
https://www.gofundme.com/f/thank-you-so-much-for-your-interest-in-our-nonprofit-and-rea,https://d2g8igdw686xgo.cloudfront.net/95387063_17597434118167_r.png,1447,"Donation protected
Happy Heart Happy Home is a 501(c)3 nonprofit organization founded in 2018. Our work is focused on end-of-life care for discarded and abused draft horses. We offer hospice, dignity, and respect to horses who have worked the majority of their lives in the fields, pulling heavy plows and being discarded when their bodies could no longer do the work required of them.

For the last year, the nonprofit's sanctuary space and home base have been spread out on two different properties",20
https://www.gofundme.com/f/help-cheezit-recover-from-emergency-vet-care,https://d2g8igdw686xgo.cloudfront.net/95787215_1760913744776697_r.png,1900,"Donation protected
Cheez-It is the sweetest boy, he loves to love. He’s a bigpart of our lives, and brings us daily joy with his cuddles and his sweet spirit. Whether he’s greeting us at the door or sharing his favorite toys, Cheez-It’s presence makes every day brighter for us.

Recently, Cheez-It faced a medical emergency where he was unable to urinate or defecate, requiring urgent vet care. He underwent blood work, x-rays, and a small procedure to resolve the issue. His total bill was just shy",7
https://www.gofundme.com/f/help-harley-run-again-surgery-needed,https://d2g8igdw686xgo.cloudfront.net/95726585_1760721219270646_r.png,920,"Donation protected
My name is Harley and I love to run, play, and take walks. I'm 2 years old and I have torn my CCL in my left knee and it will need surgery. With the high cost of everything, it's going to be expensive. Would you please help my humans with the cost?
React",9
https://www.gofundme.com/f/help-amanda-cover-milos-medical-costs,https://d2g8igdw686xgo.cloudfront.net/95919029_176127197197658_r.png,1595,"Donation protected
I’m really not a person to ask for an extra hand but, if you know Amanda, you know she is the most loving, giving, and absolute sweetest human being. She has the biggest heart. She is going through one of the toughest things I’ve seen her go through.

This is her cat Milo. He was gifted to her for her birthday as she is obsessed with cats. It was a blessing in disguise as he became her emotional support animal. He changed her life in ways you wouldn’t imagine. Silly to say tha",2
https://www.gofundme.com/f/save-milo-urgent-medical-help-needed,https://d2g8igdw686xgo.cloudfront.net/93703259_1756496962636262_r.png,11776,"Donation protected







Read more
React",71
https://www.gofundme.com/f/znxnz-help-louie-walk-again,https://d2g8igdw686xgo.cloudfront.net/95615349_1760490917594838_r.png,2747,"Donation protected
Help Louie Heal and Walk Again

Hi everyone,

Our sweet boy Louie was just playing in the backyard like he always does when my husband suddenly heard a loud yelp. Louie was on his side and couldn’t get up. We rushed to check on him, and his front leg was limp — he was scared, in pain, and we were heartbroken.

Louie means the world to us. He’s our happy, goofy Cocker Spaniel who loves tennis balls, cuddles, and being right by our side. Seeing him like this has been devastating",13
https://www.gofundme.com/f/u6n8h-help-salem-get-lifesaving-surgery,https://d2g8igdw686xgo.cloudfront.net/95896429_1761241107915584_r.png,3000,"Donation protected
Hey everyone, my name is Cherie Wagner.
I’m reaching out to you with a heavy heart to ask for your support for my sweet friend’s cat, Salem.
Salem is a 3-year-old calico cat who has been diagnosed with a kidney stone. We first discovered the stone in June 2025, and since then, we’ve been trying everything to help her. Her vet recommended changing her diet to Hill's Science Diet Urinary Care and adding canned food to ensure she’s getting enough hydration, since cats are known t",3
https://www.gofundme.com/f/help-stephanie-feed-and-rehome-stray-dogs,https://d2g8igdw686xgo.cloudfront.net/94667597_1757953783351207_r.png,1003,"Donation protected
Hi, my name is Stephanie Garcia and i am in a community in Texas where dogs are dumped and left to fend for themselves. There are multiple packs of strays all the time wandering the streets. I want to make a difference by simply going to feed them while also outsourcing to find them a home to get them off of the streets.
React
This fundraiser is located near you",41
https://www.gofundme.com/f/help-ziggy-cross-the-ocean-to-be-reunited-with-his-human,https://d2g8igdw686xgo.cloudfront.net/95809605_1760999793251918_r.png,3751,"Donation protected
Hello dear animal lovers,
We’re reaching out to ask for your help in reuniting Ziggy, a gentle 11-year-old dog, with his beloved human, Ulric. Right now, an ocean separates them; but with your kindness, that distance can disappear.

A Story of Devotion Through Heartbreak
The past five years have sorely tested Ulric. When their mother was suddenly diagnosed with terminal pancreatic cancer, they had to leave Ziggy in the loving care of friends to make a sudden trip to France and",6
https://www.gofundme.com/f/donate-to-ladys-healing-journey-with-prince,https://d2g8igdw686xgo.cloudfront.net/95372121_175996490658214_r.png,6690,"Donation protected
On Saturday October 4th Prince got home to find his dog Lady laying on the floor unresponsive but breathing.
He got in an Uber and rushed her to the Veterinary Emergency Group in Williamsburg. He was unsure of what was wrong or if she would make it through the night.
She arrived with a very high fever (normal dog temperature is 99.5 - 102), her temperature was 105. After the vet ran a battery of tests on Lady Prince found out Lady had an infection in her liver and required an ",18
https://www.gofundme.com/f/help-save-our-beloved-chocolate-lab-ruger,https://d2g8igdw686xgo.cloudfront.net/95872709_1761160114488036_r.png,970,"Donation protected
Our sweet boy Ruger is more than just a dog — he’s truly part of our family. At only 6 years old, he’s grown up alongside our children, always watching over them and showering us with unconditional love. He’s been our loyal companion, our gentle protector, and the heart of our home.

Today, we received heartbreaking news. After bringing Ruger to the vet for what we hoped was a simple issue, we learned that his kidneys are failing. He now needs to see a specialist immediately a",4
https://www.gofundme.com/f/help-little-miss-kitty-fight-for-her-life,https://d2g8igdw686xgo.cloudfront.net/95710271_1760663126406633_r.png,800,"Donation protected
Recently we rescued Little Miss Kitty after she had been assigned a deadline at Animal Control. There she had stopped eating— something was very very wrong. She needed out of there in order to receive the medical attention she desperately needed to save her life. We acted fast & rescued Miss Kitty without any knowledge of what her underlying condition might be, we just knew we needed to save her.

After trying every trick of the trade, Kitty would NOT eat, no matter what we di",10
